True Labels,Predicted Labels,Original Overviews
"Animation, Family","Comedy, Drama, Family, Fantasy","On Christmas Eve, Kelly is reluctant to go to a Christmas Eve ball, so Barbie tells her the story of Eden Starling, a glamourous singing diva in the Victorian England and the owner of a theatre house. However, Eden is self-centred and loves only herself. She is frequently accompanied by her snooty cat, Chuzzlewit. She does not believe in Christmas and orders all her employees to work on Christmas."
"Drama, Romance",Drama,"The summer before college, Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on nightly quests to help Auden experience the fun, carefree teen life she never knew she wanted."
Horror,"Action, Horror, Science Fiction, Thriller","When passengers on a train are attacked by a creature, they must band together in order to survive until morning."
"Action, Animation, Crime, Drama","Adventure, Animation, Comedy, Family, Fantasy","As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness."
Horror,"Horror, Thriller","Desperate for a role as a demonologist, struggling actor Clayton contacts Eliza, an expert in devil lore, to help him prepare. As he spends the weekend at her home, Eliza forces Clayton to confront his troubling past, perform dark rituals, and sacrifice a goat. Does she want to help Clayton, seduce him—or destroy him?"
"Comedy, Fantasy, Music, Romance, TV Movie","Comedy, Drama, Romance","Two star-crossed freshmen – a zombie, Zed and a cheerleader, Addison – each outsiders in their unique ways, befriend each other and work together to show their high school and the Seabrook community what they can achieve when they embrace their differences."
"Adventure, Animation, Comedy, Family, Fantasy, Mystery","Adventure, Animation, Comedy, Family, Fantasy",Scooby-Doo and the Mystery Inc. gang become involved in a supernatural mystery in Egypt.
Drama,Drama,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side."
"Action, Animation","Action, Adventure, Animation, Fantasy, Science Fiction","A film adaptation of the Holy Emperor story arc, which primarily depicted the conflict between Kenshiro and Souther. New characters Reina, one of Raoh's army officers who falls in love with him, and her brother Soga, Raoh's advisor, play an important part with much of the plot involving Raoh's relationship with Reina as he conquers the land; most of this portion is new content exclusive to this film. The other side of the story is the retelling of Ken's attempt to save and protect the villagers from Souther's army with the help of Shū. There is also a small subplot of Bart returning to his home."
"Animation, Comedy, Family","Adventure, Animation, Comedy, Family","Everyone's favorite yellow canary unexpectedly becomes next in line for the crown when the queen of an island paradise disappears. His Little Highness’ entourage includes motorbike daredevil Granny and sly Sylvester, whose allegiance is tested when he uncovers a sinister plot to eliminate Tweety for good."
"Adventure, Drama, Thriller","Comedy, Family, Fantasy","Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country."
"Action, Adventure, Animation, Drama, Fantasy","Action, Adventure","Sakura Kinomoto, a Card Captor, wins a game of chance and is awarded a trip to Hong Kong, along with her best friend Tomoyo and her rival, Syaoran Li. It turns out that the ancient rival of Clow Reed, the creator of the mysterious and powerful Clow Cards, summoned them, and she's out for revenge. A battle ensues, and secrets are revealed about Clow Reed's shady past and Sakura's connection to him."
"Action, Crime, Drama, Thriller","Action, Crime, Thriller","Miguel is a federal agent, highly trained and skilled in weapons. After experiencing trauma in his personal life, he sets out on a journey of revenge, assuming the identity of a masked vigilante. The Awakener decides to do justice with his own hands by exterminating corrupt politicians."
"Crime, Horror","Horror, Thriller","(AKA- Saw: The Final Chapter)  As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror."
"Action, Adventure, Drama","Action, Adventure, Drama","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady."
"Action, Comedy, Mystery, Thriller","Action, Crime, Drama, Thriller",A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.
"Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy","Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!"
"Animation, Family, Fantasy","Adventure, Animation, Comedy, Family","Kibosh, supreme ruler of all ghosts, decrees that casper must scare at least one person before Christmas Day so Casper visits Kriss, Massachusetts where he meets the Jollimore family and sets out to complete his mission. As usual, kindhearted Casper has a ghastky time trying to scare anyone; so The Ghostly Trio, fed up with his goody-boo-shoes behavior, secretly hires Casper's look-alike cousin Spooky to do the job-with hilarious results."
Drama,"Crime, Drama, Thriller","In a small supermarket in a blue collar town, a black man smiles at a 10 year old white boy across the checkout aisle. This innocuous moment sends two gangs into a ruthless war that ends with a shocking backlash."
